Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash
DRR012594	2014-04-02	2014-03-27	67679071	13535814200	67679071	200	8079		https://sra-download.ncbi.nlm.nih.gov/srapub/DRR012594	DRX011550		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	DRP001055	PRJDB2560	NA	247203	DRS011386	SAMD00012587	simple	9606	Homo sapiens	SAMD00012587	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UT_FMUH	DRA001013	NA	public	CE251B0BA6E254B14EDF3CE4D4D7EECF	9CF700807D01884C4F22C50B07361F46
DRR012597	2014-04-02	2014-03-27	64569056	12913811200	64569056	200	7682		https://sra-download.ncbi.nlm.nih.gov/srapub/DRR012597	DRX011553		RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2000	DRP001055	PRJDB2560	NA	247203	DRS011389	SAMD00012589	simple	9606	Homo sapiens	SAMD00012589	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	UT_FMUH	DRA001013	NA	public	856BEC52F8046DFD5F116AAA2C9F5E49	F87BFB373B917BF0BC884A946E3926CC
DRR013803	2014-04-07	2014-04-02	60200625	6020062500	0	100	3595		https://sra-download.ncbi.nlm.nih.gov/srapub/DRR013803	DRX012355	RDhi10002	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	DRP001150	PRJDB2676	NA	247262	DRS012102	SAMD00013674	simple	9606	Homo sapiens	SAMD00013674	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	RIKEN_OSC	DRA001101	NA	public	5316238A0E32BE659E962AC25B8FE8A9	3F8DAA9C876FB0E1715AE774B2413F33
DRR013804	2014-04-07	2014-04-02	56661120	5666112000	0	100	3373		https://sra-download.ncbi.nlm.nih.gov/srapub/DRR013804	DRX012356	RDhi10003	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	DRP001150	PRJDB2676	NA	247262	DRS012103	SAMD00013682	simple	9606	Homo sapiens	SAMD00013682	NA	NA	NA	NA		NA	no	NA	NA	NA		RIKEN_OSC	DRA001101	NA	public	B2411CF8CEE14A04C44108D1D8B113D3	8BE853FFF81514B45E113D723854D996
DRR062865	2017-02-10	2017-02-10	55469010	5546901000	0	100	3349		https://sra-download.ncbi.nlm.nih.gov/srapub/DRR062865	DRX057106	RDhi10006	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	DRP001150	PRJDB2676	NA	247262	DRS007937	SAMD00005133	simple	9606	Homo sapiens	DRS007937	NA	NA	NA	NA	male	NA	no	NA	NA	NA		RIKEN_OSC	DRA004790	NA	public	B803A989EEF4494BC7193F7058DFF1EA	2118D7CECCBFE6BA5AFB31EA10ECE043
DRR062867	2017-02-10	2017-02-17	72730397	7273039700	0	100	4359		https://sra-download.ncbi.nlm.nih.gov/srapub/DRR062867	DRX057108	RDhi10020	RNA-Seq	unspecified	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	DRP001150	PRJDB2676	NA	247262	DRS007934	SAMD00005354	simple	9606	Homo sapiens	DRS007934	NA	NA	NA	NA	female	NA	no	NA	NA	NA	NA	RIKEN_OSC	DRA004790	NA	public	A8D0041769EDA81900AE2728B2DA3E63	9969C90580BEE01C7B0D12636549032A
ERR030859	2011-03-17	2014-05-30	76274508	7627450800	0	100	4097		https://sra-download.ncbi.nlm.nih.gov/srapub/ERR030859	ERX011189	HCT20172	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	ERP000546	PRJEB2445	NA	204271	ERS025087	SAMEA962346	simple	9606	Homo sapiens	E-MTAB-513:HCT20172	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	Illumina, Inc. 25861 Industrial Blvd Hayward, CA 94545, United States	ERA022994	NA	public	FEC1BB58FD7E647F807E376837B33FAA	945221DD8C06C4E95C47DECE3B5AE27C
ERR030860	2011-03-17	2014-05-30	75929029	7592902900	0	100	4062		https://sra-download.ncbi.nlm.nih.gov/srapub/ERR030860	ERX011223	HCT20172	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	ERP000546	PRJEB2445	NA	204271	ERS025087	SAMEA962346	simple	9606	Homo sapiens	E-MTAB-513:HCT20172	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	Illumina, Inc. 25861 Industrial Blvd Hayward, CA 94545, United States	ERA022994	NA	public	26962DE264AB37DFB5590F2886B75C84	ED422CB11F1C429E6A5C01220BE7BE45
ERR030861	2011-03-17	2014-05-30	74756517	7475651700	0	100	4026		https://sra-download.ncbi.nlm.nih.gov/srapub/ERR030861	ERX011199	HCT20172	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	ERP000546	PRJEB2445	NA	204271	ERS025087	SAMEA962346	simple	9606	Homo sapiens	E-MTAB-513:HCT20172	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	Illumina, Inc. 25861 Industrial Blvd Hayward, CA 94545, United States	ERA022994	NA	public	71A32EC28AB701664D5558E0C313C74D	A183CC7F8618A0A05DE4AA0831C2C571
ERR030866	2011-03-17	2014-05-30	74249497	7424949700	0	100	4107		https://sra-download.ncbi.nlm.nih.gov/srapub/ERR030866	ERX011210	HCT20172	RNA-Seq	cDNA	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina HiSeq 2000	ERP000546	PRJEB2445	NA	204271	ERS025087	SAMEA962346	simple	9606	Homo sapiens	E-MTAB-513:HCT20172	NA	NA	NA	NA		NA	no	NA	NA	NA	NA	Illumina, Inc. 25861 Industrial Blvd Hayward, CA 94545, United States	ERA022994	NA	public	9E6544EADB8943EF55034E1340B818D5	7D02507F5FC8B98C516D4453A315FDEE
